model_id,model_name,model_family,developer,sizes,types,benchmark_count,total_results,avg_score,model_type,model_size,provider,type,base_model,year_evaluated,inference_platform,inference_engine,organization,release_date,architecture,context_window,license,url,parameters_billion,release_date_source
Llama-4-Scout-17B-16E-Instruct,Llama-4-Scout-17B-16E-Instruct (FC),llama,Meta,17B,,41.0,46.0,88.58,open,,,,,,,,,2022-04,,,,,,sourced_evidence
Open-Mistral-Nemo-2407,Open-Mistral-Nemo-2407 (FC),open,Mistral AI,,,1.0,1.0,27.63,open,,,,,,,,,2024-07,,,,,,sourced_evidence
Qwen3-0.6B,Qwen3-0.6B (FC),qwen3,Alibaba Cloud,0.6B,,2.0,2.0,15.30,open,,,,,,,,,2025-04,,,,,,hf_createdat
Gemma-3-4b-it,Gemma-3-4b-it (Prompt),Gemma,Google,4B,,2.0,2.0,655.31,,,,,,,,,,2025-02,,,,,,hf_createdat
Llama-3.1-Nemotron-Ultra-253B-v1,Llama-3.1-Nemotron-Ultra-253B-v1 (FC),llama,Nvidia,253B,,2.0,2.0,665.50,open,,,,,,,,,2025-04,,,,,,hf_createdat
Gemma-3-1b-it,Gemma-3-1b-it (Prompt),Gemma,Google,1B,,1.0,1.0,7.17,,,,,,,,,,2025-03,,,,,,hf_createdat
Llama 3.1 405B,Llama 3.1 405B,llama,Meta,405B,open,2.0,4.0,47.97,open,,,,,,,,,2024-07,,,,,,hf_createdat
Llama 3.1 70B,Llama 3.1 70B,llama,Meta,70B,,12.0,15.0,34.73,open,,,,,,,,,2024-07,,,,,,hf_createdat
GemmaX2-28-9B,GemmaX2-28-9B,Gemma 2,Google,9B,open,1.0,1.0,39.72,,,,,,,,,,2024-11,,,,,,hf_createdat
Qwen2.5-Math-1.5B,Qwen2.5-Math-1.5B (greedy),qwen2.5,Alibaba Cloud,1.5B,open,1.0,1.0,23.98,open,,,,,,,,,2024-09,,,,,,hf_createdat
Aya-101,Aya-101 (TC),Aya,Cohere,,open,2.0,2.0,53.55,,,,,,,,,,2024-02,,,,,,hf_createdat
mCoder-7B,mCoder-7B,Mcoder,,7B,open,1.0,1.0,46.70,,,,,,,,,,2023-05,,,,,,sourced_evidence
CodeQwen1.5-7B,CodeQwen1.5-7B,codeqwen1.5,Alibaba Cloud,7B,open,2.0,2.0,45.55,open,,,,,,,,,2024-04,,,,,,hf_createdat
o3,o3,o3,OpenAI,,closed,30.0,30.0,88.59,,,,,,,,,,2023-04,,,,,,sourced_evidence
SEA-LION v432B,SEA-LION v4 (Qwen) 32B,sea,AI Singapore,32B,open,1.0,1.0,60.82,open,,,,,,,,,2025-10,,,,,,hf_createdat
SEA-LION v427B,SEA-LION v4 (Gemma) 27B,SEA-LION,AI Singapore,27B,open,1.0,1.0,59.84,,,,,,,,,,2025-08,,,,,,hf_createdat
Gemma 2 Instruct 9B,Gemma 2 Instruct 9B,Gemma 2,Google,9B,open,34.0,39.0,34.84,,,,,,,,,,2024-06,,,,,,hf_createdat
LLaMA-13B,LLaMA-13B,llama,Meta,13B,open,22.0,22.0,80.34,open,,,,,,,,,2023-04,,,,,,hf_createdat
LLaMA-65B,LLaMA-65B,llama,Meta,65B,open,25.0,30.0,54.75,open,,,,,,,,,2022-04,,,,,,sourced_evidence
Llama-3.3 Nemotron Super 49B,Llama-3.3 Nemotron Super 49B,llama,Nvidia,49B,open,3.0,3.0,469.82,open,,,,,,,,,2025-03,,,,,,hf_createdat
Mistral Small 3 24B,Mistral Small 3 24B,mistral,Mistral AI,24B,open,6.0,6.0,71.96,open,,,,,,,,,2025-01,,,,,,hf_createdat
Ministral 8B,Ministral 8B,Ministral,Mistral AI,8B,open,12.0,12.0,17.24,,,,,,,,,,2024-10,,,,,,hf_createdat
Llama 3.1 Nemotron Nano 8B,Llama 3.1 Nemotron Nano 8B,llama,Nvidia,8B,open,1.0,1.0,8.10,open,,,,,,,,,2025-03,,,,,,web_verified
Jamba 1.5 Large,Jamba 1.5 Large,Jamba,,,open,13.0,13.0,148.64,,,,,,,,,,2024-08,,,,,,web_verified
Granite 4.0 Tiny Preview,Granite 4.0 Tiny Preview,Granite,,,open,1.0,1.0,58.10,,,,,,,,,,2025-04,,,,,,hf_createdat
Jamba 1.5 Mini,Jamba 1.5 Mini,Jamba,,,open,13.0,13.0,137.62,,,,,,,,,,2023-05,,,,,,sourced_evidence
Mistral NeMo 12B,Mistral NeMo 12B,mistral,Mistral AI,12B,open,1.0,1.0,50.30,open,,,,,,,,,2024-04,,,,,,sourced_evidence
GPT-5.1,GPT-5.1,gpt,OpenAI,,closed,22.0,22.0,72.34,closed,,,,,,,,,2025-11,,,,,,web_cited
Qwen3.5-122B-A10B,Qwen3.5-122B-A10B,qwen3.5,Alibaba Cloud,122B,open,1.0,1.0,88.40,open,,,,,,,,,2026-02,,,,,,hf_createdat
o4-mini,o4-mini,o4,OpenAI,,closed,25.0,25.0,43.16,,,,,,,,,,2025-04,,,,,,web_cited
Grok-3,Grok-3,Grok,xAI,,closed,16.0,16.0,43.65,,,,,,,,,,2023-11,,,,,,single_hermes
Grok-2,Grok-2,Grok,xAI,,closed,12.0,12.0,29.61,,,,,,,,,,2025-08,,,,,,hf_createdat
Pixtral Large,Pixtral Large,Pixtral,Mistral AI,,open,2.0,2.0,32.25,,,,,,,,,,2024-11,,,,,,hf_createdat
GLM-5,GLM-5,GLM,Zhipu AI,,open,2.0,3.0,56.28,,,,,,,,,,2026-06,,,,,,hf_createdat
Kimi K2.5,Kimi K2.5,Moonshot,Moonshot AI,,open,8.0,8.0,73.71,,,,,,,,,,2026-01,,,,,,hf_createdat
Palmyra-Med,Palmyra-Med,Palmyra,,,open,6.0,6.0,84.91,,,,,,,,,,2023-06,,,,,,hf_createdat
AntGLM-Med,AntGLM-Med,GLM,Zhipu AI,,open,1.0,1.0,80.60,,,,,,,,,,2024-03,,,,,,single_hermes
Galactica,Galactica,Galactica,Meta,,open,1.0,1.0,77.60,,,,,,,,,,2021-10,,,,,,sourced_evidence
GatorTronGPT,GatorTronGPT,gatortrongpt,OpenAI,,open,1.0,1.0,77.60,closed,,,,,,,,,2021-06,,,,,,sourced_evidence
Reka Core,Reka Core,Reka,,,closed,1.0,1.0,74.60,,,,,,,,,,2023-12,,,,,,sourced_evidence
PubMedGPT,PubMedGPT,pubmedgpt,OpenAI,,open,1.0,1.0,74.40,closed,,,,,,,,,2022-12,,,,,,sourced_evidence
DeepSeek-V3.1,DeepSeek-V3.1,deepseek,DeepSeek,,open,25.0,25.0,53.31,closed,,,,,,,,,2025-08,,,,,,hf_createdat
DeepSeek-R1-0528,DeepSeek-R1-0528,deepseek,DeepSeek,,open,6.0,6.0,311.87,closed,,,,,,,,,2025-05,,,,,,hf_createdat
ERNIE 5.0,ERNIE 5.0,Ernie,,,closed,1.0,1.0,65.00,,,,,,,,,,2025-11,,,,,,web_verified
Gemini 3 Flash,Gemini 3 Flash,gemini,Google,,closed,3.0,3.0,80.33,closed,,,,,,,,,2025-12,,,,,,web_verified
Kimi K2-Instruct,Kimi K2-Instruct,Moonshot,Moonshot AI,,open,6.0,6.0,89.64,,,,,,,,,,2025-07,,,,,,hf_createdat
MiniMax M1,MiniMax M1,MiniMax,MiniMax,,open,1.0,1.0,1364.00,,,,,,,,,,2025-06,,,,,,web_verified
Grok 3 Beta,Grok 3 Beta,Grok,xAI,,closed,5.0,5.0,85.53,,,,,,,,,,2025-02,,,,,,web_verified
Qwen3 Max,Qwen3 Max,qwen3,Alibaba Cloud,,open,2.0,2.0,53.89,open,,,,,,,,,2025-04,,,,,,web_verified
SeaLLMs-v3-7B,SeaLLMs-v3-7B,Seallms,,7B,open,3.0,3.0,60.03,,,,,,,,,,2024-07,,,,,,hf_createdat
GLM-4-9B-Chat,GLM-4-9B-Chat,GLM-4,Zhipu AI,9B,open,2.0,2.0,28.44,,,,,,,,,,2024-06,,,,,,hf_createdat
Sailor-7B-Chat,Sailor-7B-Chat,Sailor,Sea AI Lab,7B,open,1.0,1.0,55.80,,,,,,,,,,2024-04,,,,,,web_verified
SEA-LION-v3-8B,SEA-LION-v3-8B,SEA-LION,AI Singapore,8B,open,1.0,1.0,53.10,,,,,,,,,,2024-12,,,,,,hf_createdat
SEA-LION-v4-Qwen-32B,SEA-LION-v4-Qwen-32B,sea,AI Singapore,32B,open,1.0,1.0,60.82,open,,,,,,,,,2023-08,,,,,,single_hermes
SEA-LION-v4-Gemma-27B,SEA-LION-v4-Gemma-27B,SEA-LION,AI Singapore,27B,open,1.0,1.0,59.84,,,,,,,,,,2025-08,,,,,,hf_createdat
SEA-LION-v3-Llama-70B,SEA-LION-v3-Llama-70B,sea,AI Singapore,70B,open,1.0,1.0,57.50,open,,,,,,,,,2024-12,,,,,,hf_createdat
KiLM-13b-v24.7.1,KiLM-13b-v24.7.1,Kilm,,13B,open,1.0,1.0,66.07,,,,,,,,,,2024-07,,,,,,sourced_evidence
VinaLLaMA-7B-chat,VinaLLaMA-7B-chat,vinallama,Meta,7B,open,1.0,1.0,41.40,open,,,,,,,,,2023-12,,,,,,sourced_evidence
SeaLLM-7b-v2,SeaLLM-7b-v2,Seallm,,7B,open,1.0,1.0,45.79,,,,,,,,,,2023-12,,,,,,sourced_evidence
VinaLLaMA-7B,VinaLLaMA-7B,vinallama,Meta,7B,open,1.0,1.0,55.20,open,,,,,,,,,2023-12,,,,,,sourced_evidence
PhoGPT-7B5,PhoGPT-7B5,phogpt,OpenAI,7B,open,1.0,1.0,58.90,closed,,,,,,,,,2023-10,,,,,,hf_createdat
mT0-XXL,mT0-XXL,Mt0,,,open,1.0,1.0,20.50,,,,,,,,,,2022-10,,,,,,hf_createdat
PhoGPT-7B5-Instruct,PhoGPT-7B5-Instruct,phogpt,OpenAI,7B,open,1.0,1.0,38.50,closed,,,,,,,,,2023-11,,,,,,hf_createdat
Sailor2-8B-Chat,Sailor2-8B-Chat,Sailor,Sea AI Lab,8B,open,3.0,3.0,45.85,,,,,,,,,,2025-02,,,,,,web_verified
Llama-3.1-8B-CPT-SEA-LIONv3,Llama-3.1-8B-CPT-SEA-LIONv3,llama,AI Singapore,8B,open,1.0,1.0,55.80,open,,,,,,,,,2024-06,,,,,,single_hermes
Gemma-SEA-LION-v3-9B-IT,Gemma-SEA-LION-v3-9B-IT,SEA-LION,AI Singapore,9B,open,1.0,1.0,43.48,,,,,,,,,,2024-10,,,,,,hf_createdat
SEA-LION-v3-70B,SEA-LION-v3-70B,SEA-LION,AI Singapore,70B,open,2.0,2.0,53.98,,,,,,,,,,2024-12,,,,,,hf_createdat
SeaLLMs-v3-7B-Chat,SeaLLMs-v3-7B-Chat,Seallms,,7B,open,1.0,1.0,46.00,,,,,,,,,,2024-07,,,,,,hf_createdat
ERNIE-4.5,ERNIE-4.5,Ernie,,,open,1.0,1.0,54.68,,,,,,,,,,2025-06,,,,,,hf_createdat
Qwen3-235B-MoE,Qwen3-235B-MoE,qwen3,Alibaba Cloud,235B,open,1.0,1.0,54.29,open,,,,,,,,,2025-04,,,,,,web_verified
Llama-4,Llama-4,llama,Meta,,open,2.0,2.0,30.44,open,,,,,,,,,2025-04,,,,,,web_cited
Command-A-111B-03-2025,Command-A-111B-03-2025,Command A,Cohere,111B,open,1.0,1.0,55.63,,,,,,,,,,2025-03,,,,,,web_verified
Llama-3.3-70B-Instruct-v2,Llama-3.3-70B-Instruct-v2,llama,Meta,70B,open,1.0,1.0,58.42,open,,,,,,,,,2024-04,,,,,,single_haiku
Typhoon-1.5X-Instruct-70B,Typhoon-1.5X-Instruct-70B,Typhoon,SCB 10X,70B,open,4.0,4.0,59.96,,,,,,,,,,2023-12,,,,,,sourced_evidence
Typhoon-v1.5-Instruct-72B,Typhoon-v1.5-Instruct-72B,Typhoon,SCB 10X,72B,open,4.0,4.0,56.92,,,,,,,,,,2023-12,,,,,,sourced_evidence
BLOOMZ-7B1,BLOOMZ-7B1,BLOOM,BigScience,7B,open,1.0,1.0,37.50,,,,,,,,,,2022,,,,,,corroborated_year
Llama-2-13B-Chat,Llama-2-13B-Chat,llama,Meta,13B,open,7.0,7.0,179.82,open,,,,,,,,,2023-07,,,,,,sourced_evidence
Merak-7B,Merak-7B,Merak,,7B,open,1.0,1.0,52.70,,,,,,,,,,2023-07,,,,,,sourced_evidence
mT0-xxl-13B,mT0-xxl-13B,Mt0,,13B,open,1.0,1.0,52.10,,,,,,,,,,2022-11,,,,,,sourced_evidence
Typhoon-2-70B-Instruct,Typhoon-2-70B-Instruct,Typhoon,SCB 10X,70B,open,1.0,1.0,66.80,,,,,,,,,,2024-12,,,,,,web_verified
Typhoon-2-8B-Instruct,Typhoon-2-8B-Instruct,Typhoon,SCB 10X,8B,open,1.0,1.0,52.30,,,,,,,,,,2024-12,,,,,,sourced_evidence
NusaMT-7B,NusaMT-7B,Nusamt,,7B,open,1.0,1.0,24.68,,,,,,,,,,2024-10,,,,,,web_verified
NusaMT-7B-Minang,NusaMT-7B-Minang,Nusamt,,7B,open,1.0,1.0,19.87,,,,,,,,,,2024-10,,,,,,web_verified
Yi-1.5-34B,01-ai/Yi-1.5-34B,Yi 1.5,01.AI,34B,open,12.0,12.0,49.58,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,Yi 1.5,01.AI,34B,open,12.0,12.0,43.71,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,Yi 1.5,01.AI,34B,open,14.0,14.0,133.21,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,Yi 1.5,01.AI,34B,open,12.0,12.0,51.49,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-6B,01-ai/Yi-1.5-6B,Yi 1.5,01.AI,6B,open,12.0,12.0,39.17,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,Yi 1.5,01.AI,6B,open,12.0,12.0,44.48,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-9B,01-ai/Yi-1.5-9B,Yi 1.5,01.AI,9B,open,12.0,12.0,44.44,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,Yi 1.5,01.AI,9B,open,12.0,12.0,37.51,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,Yi 1.5,01.AI,9B,open,12.0,12.0,49.54,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,Yi 1.5,01.AI,9B,open,12.0,12.0,45.37,,,,,,,,,,2024-05,,,,,,hf_createdat
Yi-34B,01-ai/Yi-34B,Yi,01.AI,34B,open,23.0,23.0,49.32,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-34B-200K,01-ai/Yi-34B-200K,Yi,01.AI,34B,open,12.0,12.0,41.99,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-34B-Chat,01-ai/Yi-34B-Chat,Yi,01.AI,34B,open,13.0,13.0,127.94,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-6B,01-ai/Yi-6B,Yi,01.AI,6B,open,22.0,22.0,37.56,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-6B-200K,01-ai/Yi-6B-200K,Yi,01.AI,6B,open,12.0,12.0,34.34,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-6B-Chat,01-ai/Yi-6B-Chat,Yi,01.AI,6B,open,6.0,6.0,14.12,,,,,,,,,,2023-11,,,,,,hf_createdat
Yi-9B,01-ai/Yi-9B,Yi,01.AI,9B,open,12.0,12.0,40.49,,,,,,,,,,2024-03,,,,,,hf_createdat
Yi-9B-200K,01-ai/Yi-9B-200K,Yi,01.AI,9B,open,12.0,12.0,39.84,,,,,,,,,,2024-03,,,,,,hf_createdat
Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,Yi,01.AI,9B,open,6.0,6.0,16.99,,,,,,,,,,2024-08,,,,,,hf_createdat
aya-23-35B,CohereForAI/aya-23-35B,Aya,Cohere,35B,open,6.0,6.0,24.76,,,,,,,,,,2024-05,,,,,,hf_createdat
aya-23-8B,CohereForAI/aya-23-8B,Aya,Cohere,8B,open,12.0,12.0,36.93,,,,,,,,,,2024-05,,,,,,hf_createdat
aya-expanse-32b,CohereForAI/aya-expanse-32b,Aya,Cohere,32B,open,8.0,8.0,184.72,,,,,,,,,,2024-10,,,,,,hf_createdat
aya-expanse-8b,CohereForAI/aya-expanse-8b,Aya,Cohere,8B,open,7.0,7.0,189.92,,,,,,,,,,2024-10,,,,,,hf_createdat
c4ai-command-r-plus,CohereForAI/c4ai-command-r-plus,Command R,Cohere,,open,12.0,12.0,50.51,,,,,,,,,,2025-04,,,,,,sourced_evidence
c4ai-command-r-plus-08-2024,CohereForAI/c4ai-command-r-plus-08-2024,Command R,Cohere,,open,6.0,6.0,33.65,,,,,,,,,,2025-04,,,,,,sourced_evidence
c4ai-command-r-v01,CohereForAI/c4ai-command-r-v01,Command R,Cohere,,open,12.0,12.0,47.23,,,,,,,,,,2025-04,,,,,,sourced_evidence
c4ai-command-r7b-12-2024,CohereForAI/c4ai-command-r7b-12-2024,Command R,Cohere,7B,open,6.0,6.0,31.62,,,,,,,,,,2024-12,,,,,,web_verified
DeciLM-7B,Deci/DeciLM-7B,Deci/decilm,,7B,open,12.0,12.0,38.29,,,,,,,,,,2021-06,,,,,,sourced_evidence
DeciLM-7B-instruct,Deci/DeciLM-7B-instruct,Deci/decilm,,7B,open,12.0,12.0,40.33,,,,,,,,,,2021-06,,,,,,sourced_evidence
Grok-4-0709,Grok-4-0709,Grok,xAI,,closed,6.0,6.0,310.14,,,,,,,,,,2023-11,,,,,,single_hermes
Grok-3-Preview-02-24,Grok-3-Preview-02-24,Grok,xAI,,closed,1.0,1.0,1423.00,,,,,,,,,,2023-11,,,,,,single_hermes
DeepSeek-V3-0324,DeepSeek-V3-0324,deepseek,DeepSeek,,open,2.0,2.0,693.80,closed,,,,,,,,,2025-03,,,,,,hf_createdat
Hunyuan-Turbos-20250416,Hunyuan-Turbos-20250416,Hunyuan,,,closed,1.0,1.0,1378.00,,,,,,,,,,2025-04,,,,,,existing
kimi-k2-0711-preview,kimi-k2-0711-preview,Moonshot,Moonshot AI,,open,1.0,1.0,1374.00,,,,,,,,,,2025-07,,,,,,web_verified
Mistral Medium 3,Mistral Medium 3,mistral,Mistral AI,,closed,4.0,4.0,371.64,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Grok-3-mini,Grok-3-mini-high,Grok,xAI,,closed,16.0,16.0,126.62,,,,,,,,,,2023-11,,,,,,single_hermes
Qwen-Plus-0125,Qwen-Plus-0125,qwen,Alibaba Cloud,,closed,1.0,1.0,1325.00,open,,,,,,,,,2023-08,,,,,,single_hermes
Command A,Command A (03-2025),Command A,Cohere,,open,2.0,2.0,706.25,,,,,,,,,,2025-03,,,,,,web_verified
GLM-4-Plus-0111,GLM-4-Plus-0111,GLM-4,Zhipu AI,,closed,1.0,1.0,1326.00,,,,,,,,,,2024-03,,,,,,single_hermes
Amazon-Nova-Experimental-Chat-05-14,Amazon-Nova-Experimental-Chat-05-14,Amazon,,,closed,1.0,1.0,1325.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Hunyuan-TurboS-20250226,Hunyuan-TurboS-20250226,Hunyuan,,,closed,1.0,1.0,1318.00,,,,,,,,,,2025-02,,,,,,existing
Hunyuan-Turbo-0110,Hunyuan-Turbo-0110,Hunyuan,,,closed,1.0,1.0,1311.00,,,,,,,,,,2024-12,,,,,,sourced_evidence
Gemma-3n-e4b-it,Gemma-3n-e4b-it,Gemma,Google,4B,open,1.0,1.0,1305.00,,,,,,,,,,2025-06,,,,,,hf_createdat
Grok-2-08-13,Grok-2-08-13,Grok,xAI,,closed,1.0,1.0,1303.00,,,,,,,,,,2023-11,,,,,,single_hermes
Yi-Lightning,Yi-Lightning,Yi,01.AI,,closed,1.0,1.0,1302.00,,,,,,,,,,2023-10,,,,,,single_hermes
Qwen2.5-plus-1127,Qwen2.5-plus-1127,qwen2.5,Alibaba Cloud,,closed,1.0,1.0,1297.00,open,,,,,,,,,2024-09,,,,,,single_hermes
Hunyuan-Large-2025-02-10,Hunyuan-Large-2025-02-10,Hunyuan,,,closed,1.0,1.0,1287.00,,,,,,,,,,2025-02,,,,,,existing
Athene-v2-Chat-72B,Athene-v2-Chat-72B,Athene,Nexusflow,72B,open,1.0,1.0,1290.00,,,,,,,,,,2025-03,,,,,,sourced_evidence
GLM-4-Plus,GLM-4-Plus,GLM-4,Zhipu AI,,closed,1.0,1.0,1289.00,,,,,,,,,,2024-03,,,,,,single_hermes
Llama-3.1-Nemotron-70B-Instruct,Llama-3.1-Nemotron-70B-Instruct,llama,Nvidia,70B,open,9.0,9.0,179.14,open,,,,,,,,,2024-10,,,,,,hf_createdat
Gemini Advanced App,Gemini Advanced App (2024-05-14),gemini,Google,,closed,1.0,1.0,1282.00,closed,,,,,,,,,2024-05,,,,,,existing
Grok-2-Mini-08-13,Grok-2-Mini-08-13,Grok,xAI,,closed,1.0,1.0,1281.00,,,,,,,,,,2023-11,,,,,,single_hermes
Hunyuan-Standard-2025-02-10,Hunyuan-Standard-2025-02-10,Hunyuan,,,closed,1.0,1.0,1276.00,,,,,,,,,,2025-02,,,,,,existing
Qwen-Max-0919,Qwen-Max-0919,qwen,Alibaba Cloud,,open,1.0,1.0,1278.00,open,,,,,,,,,2023-08,,,,,,single_hermes
Mistral-Small-3.1-24B-Instruct-2503,Mistral-Small-3.1-24B-Instruct-2503,mistral,Mistral AI,24B,open,1.0,1.0,1268.00,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Athene-70B,Athene-70B,Athene,Nexusflow,70B,open,2.0,2.0,656.25,,,,,,,,,,2024-07,,,,,,hf_createdat
Amazon Nova Pro 1.0,Amazon Nova Pro 1.0,Amazon,,,closed,1.0,1.0,1260.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Hunyuan-Large-Vision,Hunyuan-Large-Vision,Hunyuan,,,closed,1.0,1.0,1255.00,,,,,,,,,,2024-12,,,,,,sourced_evidence
Reka-Core-20240904,Reka-Core-20240904,Reka,,,closed,1.0,1.0,1250.00,,,,,,,,,,2024-09,,,,,,existing
Mistral-Small-24B-Instruct-2501,Mistral-Small-24B-Instruct-2501,mistral,Mistral AI,24B,open,6.0,6.0,237.47,open,,,,,,,,,2025-01,,,,,,hf_createdat
Amazon Nova Lite 1.0,Amazon Nova Lite 1.0,Amazon,,,closed,1.0,1.0,1232.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Gemma-2-9B-it-SimPO,Gemma-2-9B-it-SimPO,Gemma 2,Google,9B,open,1.0,1.0,1231.00,,,,,,,,,,2024-04,,,,,,single_hermes
Llama-3.1-Nemotron-51B-Instruct,Llama-3.1-Nemotron-51B-Instruct,llama,Nvidia,51B,open,1.0,1.0,1227.00,open,,,,,,,,,2024-07,,,,,,single_hermes
OLMo-2-0325-32B-Instruct,OLMo-2-0325-32B-Instruct,OLMo 2,AllenAI,32B,open,1.0,1.0,1222.00,,,,,,,,,,2025-03,,,,,,hf_createdat
Gemini-1.5-Flash-8B-001,Gemini-1.5-Flash-8B-001,gemini,Google,8B,closed,1.0,1.0,1228.00,closed,,,,,,,,,2024-05,,,,,,single_haiku
Nemotron-4-340B-Instruct,Nemotron-4-340B-Instruct,Nemotron,Nvidia,340B,open,1.0,1.0,1224.00,,,,,,,,,,2024-06,,,,,,hf_createdat
Reka-Flash-20240904,Reka-Flash-20240904,Reka,,,closed,1.0,1.0,1221.00,,,,,,,,,,2024-09,,,,,,existing
Amazon Nova Micro 1.0,Amazon Nova Micro 1.0,Amazon,,,closed,1.0,1.0,1213.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Hunyuan-Standard-256K,Hunyuan-Standard-256K,Hunyuan,,,closed,1.0,1.0,1204.00,,,,,,,,,,2024-12,,,,,,sourced_evidence
Ministral-8B-2410,Ministral-8B-2410,Ministral,Mistral AI,8B,open,1.0,1.0,1197.00,,,,,,,,,,2024-10,,,,,,hf_createdat
DeepSeek-Coder-V2-Instruct,DeepSeek-Coder-V2-Instruct,deepseek,DeepSeek,,open,3.0,3.0,440.91,closed,,,,,,,,,2024-06,,,,,,hf_createdat
Reka-Flash-21B-online,Reka-Flash-21B-online,Reka,,21B,closed,1.0,1.0,1171.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Mistral,Mistral Medium,mistral,Mistral AI,,closed,3.0,3.0,402.30,open,,,,,,,,,2023-10,,,,,,sourced_evidence
Reka-Flash-21B,Reka-Flash-21B,Reka,,21B,closed,1.0,1.0,1162.00,,,,,,,,,,2024-03,,,,,,sourced_evidence
Starling-LM-7B-beta,Starling-LM-7B-beta,Starling,UC Berkeley,7B,open,2.0,2.0,576.00,,,,,,,,,,2024-03,,,,,,hf_createdat
DBRX-Instruct-Preview,DBRX-Instruct-Preview,DBRX,Databricks,,open,1.0,1.0,1118.00,,,,,,,,,,2024-05,,,,,,single_hermes
Tulu-2-DPO-70B,Tulu-2-DPO-70B,Tulu,AllenAI,70B,open,1.0,1.0,1114.00,,,,,,,,,,2023-05,,,,,,sourced_evidence
Snowflake Arctic Instruct,Snowflake Arctic Instruct,Snowflake,,,open,10.0,10.0,161.36,,,,,,,,,,2024-04,,,,,,hf_createdat
NV-Llama2-70B-SteerLM-Chat,NV-Llama2-70B-SteerLM-Chat,nv,Meta,70B,open,1.0,1.0,1096.00,open,,,,,,,,,2023-07,,,,,,single_hermes
Phi-3-Mini-4K-Instruct-June-24,Phi-3-Mini-4K-Instruct-June-24,Phi-3,Microsoft,,open,1.0,1.0,1086.00,,,,,,,,,,2024-05,,,,,,single_hermes
Dolphin-2.2.1-Mistral-7B,Dolphin-2.2.1-Mistral-7B,dolphin,Mistral AI,7B,open,2.0,2.0,539.46,open,,,,,,,,,2023-11,,,,,,single_hermes
MPT-30B-chat,MPT-30B-chat,MPT,MosaicML,30B,open,9.0,9.0,155.58,,,,,,,,,,2022-05,,,,,,sourced_evidence
CodeLlama-70B-instruct,CodeLlama-70B-instruct,codellama,Meta,70B,open,1.0,1.0,1056.00,open,,,,,,,,,2023-08,,,,,,single_hermes
falcon-180b-chat,falcon-180b-chat,Falcon,TII,180B,open,1.0,1.0,1049.00,,,,,,,,,,2023-09,,,,,,hf_createdat
Llama-2-7B-chat,Llama-2-7B-chat,llama,Meta,7B,open,9.0,9.0,143.50,open,,,,,,,,,2023-07,,,,,,corroborated_month
Guanaco-33B,Guanaco-33B,Guanaco,UW,33B,open,1.0,1.0,1048.00,,,,,,,,,,2023-05,,,,,,sourced_evidence
StripedHyena-Nous-7B,StripedHyena-Nous-7B,Stripedhyena,,7B,open,1.0,1.0,1032.00,,,,,,,,,,2023-02,,,,,,sourced_evidence
OLMo-7B-instruct,OLMo-7B-instruct,OLMo,AllenAI,7B,open,1.0,1.0,1030.00,,,,,,,,,,2024-06,,,,,,hf_createdat
PaLM-Chat-Bison-001,PaLM-Chat-Bison-001,Palm,,,closed,1.0,1.0,1018.00,,,,,,,,,,2023-05,,,,,,single_hermes
Koala-13B,Koala-13B,Koala,UC Berkeley,13B,open,1.0,1.0,979.00,,,,,,,,,,2023-04,,,,,,sourced_evidence
GPT4All-13B-Snoozy,GPT4All-13B-Snoozy,gpt4all,OpenAI,13B,open,2.0,2.0,491.35,closed,,,,,,,,,2023-04,,,,,,sourced_evidence
